name,lat,lon,country,state
Monterrey,25.6667,-100.3000,MX,Nuevo León
Belo Horizonte,-19.9167,-43.9333,BR,Minas Gerais
Weinan,34.4996,109.4684,CN,Shaanxi
Rangoon,16.7950,96.1600,MM,Yangon
Zhangzhou,24.5093,117.6612,CN,Fujian
Yuncheng,35.0304,110.9980,CN,Shanxi
Xianyang,34.3500,108.7167,CN,Shaanxi
Guilin,25.2819,110.2864,CN,Guangxi
Atlanta,33.7628,-84.4220,US,Georgia
Taizhou,32.4831,119.9000,CN,Jiangsu
Kashan,33.9833,51.4333,IR,Eşfahān
Bozhou,33.8626,115.7742,CN,Anhui
Abidjan,5.3167,-4.0333,CI,Abidjan
Suqian,33.9331,118.2831,CN,Jiangsu
Huaihua,27.5494,109.9592,CN,Hunan
Ji'an,27.1172,114.9793,CN,Jiangxi
Xiaoganzhan,30.9273,113.9110,CN,Hubei
Pingdingshan,33.7350,113.2999,CN,Henan
Jiujiang,29.7048,116.0021,CN,Jiangxi
Alexandria,31.1975,29.8925,EG,Al Iskandarīyah
Mianyang,31.4669,104.7385,CN,Sichuan
Sydney,-33.8678,151.2100,AU,New South Wales
Huanglongsi,34.7950,114.3450,CN,Henan
Washington,38.9047,-77.0163,US,District of Columbia
Barcelona,41.3825,2.1769,ES,Catalonia
Changsha,28.1987,112.9709,CN,Hunan
Chenzhou,25.7989,113.0267,CN,Hunan
Anqing,30.5000,117.0333,CN,Anhui
Jiangmen,22.5833,113.0833,CN,Guangdong
Xinpu,34.5906,119.1801,CN,Jiangsu
Yibin,28.7596,104.6400,CN,Sichuan
Yangzhou,32.3912,119.4363,CN,Jiangsu
Melbourne,-37.8142,144.9631,AU,Victoria
Berlin,52.5200,13.4050,DE,Berlin
Hengshui,37.7348,115.6860,CN,Hebei
Timbio,2.3445,-76.6839,CO,Cauca
Kunming,25.0433,102.7061,CN,Yunnan
Yiyang,28.5833,112.3333,CN,Hunan
Guigang,23.0961,109.6092,CN,Guangxi
Changchun,43.9000,125.2000,CN,Jilin
Jiangguanchi,34.0244,113.8201,CN,Henan
Casablanca,33.5333,-7.5833,MA,Casablanca-Settat
Meizhou,24.2998,116.1191,CN,Guangdong
Zhangjiakou,40.8108,114.8811,CN,Hebei
Chifeng,42.2663,118.9223,CN,Inner Mongolia
Urumqi,43.8225,87.6125,CN,Xinjiang
Suzhou,31.3000,120.6194,CN,Jiangsu
Izmir,38.4200,27.1400,TR,İzmir
Linfen,36.0812,111.5087,CN,Shanxi
Shantou,23.3735,116.6941,CN,Guangdong
Kabul,34.5253,69.1783,AF,Kābul
Mogadishu,2.0392,45.3419,SO,Banaadir
Luzhou,28.8918,105.4409,CN,Sichuan
Hefei,31.8639,117.2808,CN,Anhui
Boston,42.3188,-71.0852,US,Massachusetts
Liuzhou,24.3264,109.4281,CN,Guangxi
Zhaoqing,23.0500,112.4667,CN,Guangdong
Xiaoxita,30.7083,111.2803,CN,Hubei
Shijiazhuang,38.0422,114.5086,CN,Hebei
Ningbo,29.8750,121.5492,CN,Zhejiang
Fuzhou,27.9814,116.3577,CN,Jiangxi
Phoenix,33.5722,-112.0892,US,Arizona
Zhuzhou,27.8407,113.1469,CN,Hunan
Amman,31.9497,35.9328,JO,Al ‘Āşimah
Chuzhou,32.3062,118.3115,CN,Anhui
Jeddah,21.5433,39.1728,SA,Makkah al Mukarramah
Qingyuan,23.6842,113.0507,CN,Guangdong
Loudi,27.7378,111.9974,CN,Hunan
Binzhou,37.3806,118.0125,CN,Shandong
Deyang,31.1289,104.3950,CN,Sichuan
Taiyuan,37.8733,112.5425,CN,Shanxi
Kano,12.0000,8.5167,NG,Kano
Wuhu,31.3340,118.3622,CN,Anhui
Nanning,22.8192,108.3150,CN,Guangxi
Harbin,45.7500,126.6333,CN,Heilongjiang
Abuja,9.0667,7.4833,NG,Federal Capital Territory
Yokohama,35.4442,139.6381,JP,Kanagawa
Baojishi,34.3609,107.1751,CN,Shaanxi
Zaozhuang,34.8667,117.5500,CN,Shandong
Xiamen,24.4797,118.0819,CN,Fujian
Neijiang,29.5872,105.0635,CN,Sichuan
Fuzhou,26.0769,119.2917,CN,Fujian
Baicheng,23.9010,106.6194,CN,Guangxi
Anshan,41.1066,122.9895,CN,Liaoning
Medan,3.5894,98.6739,ID,Sumatera Utara
Yulinshi,38.2655,109.7388,CN,Shaanxi
Wenzhou,27.9991,120.6561,CN,Zhejiang
Changzhou,31.8122,119.9692,CN,Jiangsu
Puyang,35.7639,115.0300,CN,Henan
Jiaozuo,35.2290,113.2304,CN,Henan
Nanchang,28.6842,115.8872,CN,Jiangxi
Ibadan,7.3964,3.9167,NG,Oyo
Hechi,24.6928,108.0850,CN,Guangxi
Detroit,42.3834,-83.1024,US,Michigan
Montreal,45.5089,-73.5617,CA,Quebec
Busan,35.1800,129.0750,KR,Busan
Hohhot,40.8151,111.6629,CN,Inner Mongolia
Seattle,47.6211,-122.3244,US,Washington
Algiers,36.7539,3.0589,DZ,Alger
Hanzhong,33.0794,107.0260,CN,Shaanxi
Tangshan,39.6292,118.1742,CN,Hebei
Shiyan,32.6351,110.7755,CN,Hubei
Lucknow,26.8500,80.9500,IN,Uttar Pradesh
Siping,43.1715,124.3644,CN,Jilin
Mashhad,36.3000,59.6000,IR,Khorāsān-e Raẕavī
Boankra,6.6944,-1.4028,GH,Ashanti
Changzhi,36.1953,113.0970,CN,Shanxi
Dubai,25.2631,55.2972,AE,Dubayy
Qinzhou,21.9500,108.6167,CN,Guangxi
Guiyang,26.5794,106.7078,CN,Guizhou
Bengbu,32.9354,117.3531,CN,Anhui
San Francisco,37.7558,-122.4449,US,California
Bazhou,31.8576,106.7559,CN,Sichuan
Qincheng,34.5809,105.7311,CN,Gansu
Suining,30.5098,105.5737,CN,Sichuan
Wuxi,31.5667,120.2833,CN,Jiangsu
Leshan,29.5854,103.7575,CN,Sichuan
Putian,25.4394,119.0103,CN,Fujian
Zhenjiang,32.2109,119.4551,CN,Jiangsu
Faisalabad,31.4167,73.0911,PK,Punjab
Guang'an,30.4673,106.6336,CN,Sichuan
Tongren,27.7233,109.1885,CN,Guizhou
Santa Cruz,-17.7892,-63.1975,BO,Santa Cruz
Qinhuangdao,39.9398,119.5881,CN,Hebei
Tongliao,43.6172,122.2640,CN,Inner Mongolia
Jinzhou,41.1144,121.1292,CN,Liaoning
Heyuan,23.7503,114.6923,CN,Guangdong
San Diego,32.8313,-117.1222,US,California
Jaipur,26.9000,75.8000,IN,Rājasthān
